,cluster 0,z-score 0,cluster 1,z-score 1,cluster 2,z-score 2,cluster 3,z-score 3,cluster 4,z-score 4,cluster 5,z-score 5,cluster 6,z-score 6,cluster 7,z-score 7
28,value_MYCN,3.032633267551959,value_LHX2,-0.00863192308341681,value_H3K79suc,0.0019867542686538443,value_DNAJC2,0.0,value_CREBBP,0.0301410155405793,value_ERG,0.0,value_CENPA,-0.008103344575876376,value_HOXC9,0.00030044764151882446
29,value_CHD2,3.0312755277684023,value_DNAJC2,-0.008631923083416811,value_H3K18la,0.000872540515691842,value_H4K20me3,-0.00034616083977984086,value_PHOX2B,0.025876676191953104,value_STAG3,0.0,value_Biotin,-0.008103344575876378,value_Biotin,0.0
30,value_MXI1,2.999894367910869,value_CENPA,-0.008631923083416811,value_MAML3,0.0,value_ZNF593,-0.002183923277228333,value_INTS10,0.019657206596318907,value_LRIF1,0.0,value_POU5F1,-0.008103344575876378,value_H4R3me2,0.0
31,value_DNase-Seq,2.735106324577326,value_Biotin,-0.008631923083416811,value_LRIF1,0.0,value_CNBP,-0.002608382606899571,value_VSX2,0.018199022515102033,value_MYB,0.0,value_FOXP1,-0.008103344575876378,value_H3K36me1,0.0
32,value_ZFX,2.2878788576292055,value_MGMT,-0.008631923083416811,value_LMO1,0.0,value_THRA,-0.002629085077063275,value_RNF2,0.01669175599883726,value_LMO1,0.0,value_DNAJC2,-0.00810334457587638,value_ERG,0.0
33,value_FANCD2,2.280264742294127,value_SVIL,-0.008631923083416811,value_MGMT,0.0,value_ACSS2,-0.003370621929520912,value_SMARCC1,0.012753603954974088,value_EZH1,0.0,value_NPAT,-0.00810334457587638,value_EZH1,0.0
34,value_H3K4me2,2.275891101815299,value_TP53,-0.008631923083416811,value_H3K36me1,0.0,value_SMCHD1,-0.005075638399042289,value_EBF3,0.011196276431260551,value_H3K36me1,0.0,value_SVIL,-0.00810334457587638,value_ZNF117,0.0
35,value_RARB,2.201049698591908,value_KDM4C,-0.008631923083416813,value_ERG,0.0,value_H4K20me1,-0.006713641310149205,value_TBX2,0.010468638942921578,value_RB1,0.0,value_TOP2A,-0.00810334457587638,value_STAG3,0.0
36,value_PBX3,2.161460617302472,value_SMARCC2,-0.008665317562270637,value_H4R3me2,0.0,value_TOP1,-0.006824860119920263,value_PITX3,0.010066720887124502,value_H4R3me2,0.0,value_SMARCC2,-0.008134693854475917,value_LHX2,0.0
37,value_H3K14ac,2.1029310750817594,value_SMARCC1,-0.008736771355571044,value_EZH1,0.0,value_H3S10ph,-0.007394658276984589,value_OTX2,0.008496677910404486,value_PARK7,0.0,value_WWTR1,-0.008821011060367456,value_RB1,0.0
38,value_H3K79me2,2.0683078502679724,value_WWTR1,-0.009396410404099805,value_MYB,0.0,value_ALKBH1,-0.007849911626116505,value_HDAC2,0.006770905298034686,value_ZNF117,0.0,value_CNBP,-0.008889606465069708,value_CDK9,0.0
39,value_ZNF711,2.013090115838456,value_CNBP,-0.009469481099154756,value_PARK7,0.0,value_SMARCC2,-0.00820407361020448,value_IRF3,0.0031684471871586094,value_MAML3,0.0,value_SOX3,-0.009123987329530223,value_LRIF1,0.0
40,value_Crotonyllysine,2.0088347758961427,value_SOX3,-0.009719153538968687,value_POU5F1,0.0,value_FOXP1,-0.008423311595321146,value_WWTR1,0.0014642194517047282,value_CDK9,0.0,value_ACSS2,-0.009208565813309645,value_MAML3,0.0
41,value_PHF8,1.9218848924590632,value_ACSS2,-0.009809250180599135,value_RB1,0.0,value_TP53,-0.008423311595321148,value_RB1,0.0,value_CASZ1,-0.0008953217181399795,value_INSR,-0.009512903769984626,value_PARK7,0.0
42,value_BRCA1,1.8725052998010547,value_INSR,-0.010133444308844356,value_ZNF117,0.0,value_Biotin,-0.008423311595321148,value_EZH1,0.0,value_TOP1,-0.0029365396367033916,value_THRA,-0.009690828147515524,value_MYB,0.0
43,value_NRF1,1.8194274167428408,value_THRA,-0.010322977327765609,value_STAG3,0.0,value_NPAT,-0.008423311595321148,value_ERG,0.0,value_VSX2,-0.003013238069000595,value_SMARCC1,-0.009847433881668827,value_LMO1,0.0
44,value_BRD4,1.8109545020108089,value_DCP1A,-0.010574722773623346,value_TP53,0.0,value_TOP2A,-0.00842331159532115,value_CDK9,0.0,value_RXRA,-0.0037022182474013812,value_DCP1A,-0.009927154332787215,value_SMARCA2,0.0
45,value_Epitope_tags,1.701006619422145,value_MITF,-0.01154590826191344,value_CENPA,0.0,value_MGMT,-0.00842331159532115,value_LMO1,0.0,value_TFAP2B,-0.005047209405880332,value_MITF,-0.010838853133704111,value_H3K18la,-0.0017359052055468185
46,value_CREB1,1.6670919281048744,value_H3K27me2,-0.011617984690904047,value_CDK9,0.0,value_KDM4C,-0.00842331159532115,value_LRIF1,0.0,value_TSHZ2,-0.006224729553568823,value_JMJD6,-0.010917633179920994,value_SMCHD1,-0.002757009163890885
47,value_ASCL1,1.6242734062811925,value_JMJD6,-0.011629828740138395,value_ZNF565,-0.0011538952950643378,value_SVIL,-0.00842331159532115,value_ZNF117,0.0,value_SVIL,-0.008116947290168373,value_CSNK2A1,-0.011215507340261676,value_CSNK2A1,-0.0038471781099859606
48,value_CHD7,1.597196785632589,value_CSNK2A1,-0.01194713958338801,value_H3K27M,-0.001401766869838864,value_CENPA,-0.00842331159532115,value_PARK7,0.0,value_KDM4C,-0.008116947290168373,value_H3R8me2,-0.011388200965849247,value_TBX2,-0.006485445047858545
